mes,ghcp_seats,ghcp_acr_usd,pru_acr_usd,pru_units,ghe_total_seats
2025-07,1536.3226000000002,26002.7406,13.5047,420.0,2324.7742
2025-08,1743.6774,29842.178799999998,24.212,753.0,2347.0323
2025-09,1895.9333,32127.4676,65.5299,2038.0,2361.4333
2025-10,2114.5161,36050.4237,70.1601,2182.0,2387.3871
2025-11,2323.5,40501.379100000006,38.1668,1187.0,2392.7667
2025-12,2424.4514999999997,43027.7149,79.0278,2457.79,2404.2903
2026-01,2620.0967,47366.1749,288.4031,8969.43,2411.6129
2026-02,2809.4285000000004,52282.9293,693.9852,21583.16,2419.5
2026-03,3776.129,80070.6207,1462.0323,45469.67,3074.129
2026-04,3808.9000000000005,95549.5347,2876.1711,89449.84,3077.5333
2026-05,4076.5483,108722.226,8021.0318,249456.65,3102.2903
